"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"54750","ENSG00000273559.3",1425,2031,1748,1337,1387,1234,1954
"54751","ENSG00000273560.1",0,0,0,0,0,0,0
"54752","ENSG00000273561.1",0,0,0,0,0,0,0
"54753","ENSG00000273565.1",2,13,12,2,15,5,8
"54754","ENSG00000273566.1",0,0,0,0,0,0,0
"54755","ENSG00000273567.1",0,0,0,0,0,0,0
"54756","ENSG00000273568.1",23,18,12,15,13,30,24
"54757","ENSG00000273569.1",0,0,0,0,0,0,0
"54758","ENSG00000273570.1",0,0,0,0,0,0,0
"54759","ENSG00000273571.1",0,3.34,0,2.3,0,0,3.85
"54760","ENSG00000273573.1",0,0,0,0,0,0,0
"54761","ENSG00000273576.1",172,65,98,107,97,131,211
"54762","ENSG00000273577.1",0,0,0,0,0,1,0
"54763","ENSG00000273580.1",4,0,2,9,0,0,1
"54764","ENSG00000273581.1",0,0,0,0,0,0,0
"54765","ENSG00000273582.1",0,0,0,0,0,0,0
"54766","ENSG00000273583.1",0,0,0,0,0,0,0
"54767","ENSG00000273584.1",20,7,5,7,3,8,5
"54768","ENSG00000273585.1",0,1,0,0,0,0,0
"54769","ENSG00000273586.1",0,0,0,0,0,0,0
"54770","ENSG00000273587.1",5.78,4.47,2.62,5.62,15.12,27.92,28.24
"54771","ENSG00000273588.1",0,0,0,0,0,0,0
"54772","ENSG00000273589.1",0,0,0,0,0,0,0
"54773","ENSG00000273590.3",317.05,202.3,245.97,110.29,340.41,295.39,112.31
"54774","ENSG00000273591.1",1.33,1.67,4.67,3.67,1,1,5
"54775","ENSG00000273593.1",0,0,0,0,0,0,0
"54776","ENSG00000273595.1",1,0,0,0,0,0,0
"54777","ENSG00000273596.1",0,1.02,1.13,2.12,0,0,0
"54778","ENSG00000273597.1",25,14,42,47,9,8,13
"54779","ENSG00000273598.1",208.41,56.41,102.73,130.85,50.06,64.67,110.4
"54780","ENSG00000273599.1",163,42,96,87,25,81,100
"54781","ENSG00000273600.1",0,0,1,0,0,0,0
"54782","ENSG00000273604.1",12,42,19,32,77,187,165
"54783","ENSG00000273606.1",0,0,0,0,0,0,0
"54784","ENSG00000273609.1",0,0,0,0,0,0,0
"54785","ENSG00000273610.1",0,0,0,0,0,0,0
"54786","ENSG00000273611.3",805,585,699,857,894,652,785
"54787","ENSG00000273612.1",0,0,0,0,0,0,0
"54788","ENSG00000273613.1",0,0,0,0,0,0,0
"54789","ENSG00000273614.1",0,0,0,0,0,0,0
"54790","ENSG00000273615.1",0,0,3,8,0,0,0
"54791","ENSG00000273618.1",8,0,1,1,0,1,2
"54792","ENSG00000273619.1",35,20,16,14,35,40,97
"54793","ENSG00000273621.1",0,1,0,0,0,0,0
"54794","ENSG00000273623.1",0,0,0,0,0,0,0
"54795","ENSG00000273626.1",0,0,0,0,0,0,0
"54796","ENSG00000273627.1",0,0,0,0,0,0,0
"54797","ENSG00000273628.1",5.15,0,7.77,5.39,27.32,0.62,40.75
"54798","ENSG00000273629.1",0,0,0,0,0,0,0
"54799","ENSG00000273630.1",0,0,0,0,0,0,0
"54800","ENSG00000273631.1",0,0,0,0,0,0,0
"54801","ENSG00000273632.1",0,0,0,0,0,0,0
"54802","ENSG00000273634.1",0,0,0,0,0,0,0
"54803","ENSG00000273637.1",0,0,1.99,0,2.03,1.9,2.12
"54804","ENSG00000273639.3",0,0,0,0,0,0,0
"54805","ENSG00000273640.1",0,0,0,0,0,0,0
"54806","ENSG00000273643.1",0,0,0,0,0,0,0
"54807","ENSG00000273644.1",0,5,1,0,0,0,0
"54808","ENSG00000273648.1",0,0,0,0,0,0,0
"54809","ENSG00000273650.1",0,0,0,0,0,0,0
"54810","ENSG00000273653.1",0,0,0,0,0,0,0
"54811","ENSG00000273654.1",65.19,23.62,11.24,9.24,16.53,36.72,188.76
"54812","ENSG00000273657.1",0,0,0,0,0,0,0
"54813","ENSG00000273658.1",0,0,0,0,0,0,0
"54814","ENSG00000273659.1",0,0,0,0,0,0,0
"54815","ENSG00000273662.1",0,0,0,0,0,0,0
"54816","ENSG00000273663.1",0,0,0,0,0,0,0
"54817","ENSG00000273664.1",0,0,0,0,0,0,0
"54818","ENSG00000273665.1",0,0,0,0,0,0,0
"54819","ENSG00000273667.1",4.62,0.37,0.57,0.44,1.76,3.52,4.29
"54820","ENSG00000273668.1",0,0,0,0,0,0,2
